#ID	1CC.C082	2UC.C091	3UC.C066	4UW.C077	2UC.C074	1CW.C136	3UW.C101	3CC.C116	3CW.C102	3CC.C086	2CC.C154	4UC.C099	2UW.C126	1UC.C149	3CW.C151	1UW.C153	2UW.C100	1CW.C096	1CW.C089	4UW.C128	6CW.C145	4CW.C130	1CC.C085	6UW.C095	6CC.C134	4CC.C150	5CW.C075	5CW.C132	6UC.C083	6CW.C137	5UC.C146	5CC.C161	6UC.C079	6UC.C131	2UC.C093	6CC.C026	1CC.C156	4UC.C159	5CC.C157	3CW.C090	4CW.C084	4UW.C144	5UW.C098	6UW.C127	5CW.C088	2CC.C139	6UW.C158	4CC.C125	3UW.C143	5UC.C162	1UC.C141	2UW.C147	5UW.C070	3CC.C081	2CW.C160	3UC.C140	taxonomy
13098	0.005472222	0.229902312	0.006694313	0.005496869	0.003413892	0.221933281	0.161155931	0.296188341	0.005448266	0.006121096	0.523904224	0.007751946	0.494182684	0.319347869	0.007571032	0.139653166	0.006076993	0.00604336	0.006060307	0.197605971	0.00986807	0.009188602	0.006678402	0.190021166	0.008126113	0.21204594	0.007430396	0.222998719	0.506601127	0.575504803	0.369394708	0.009953981	0.006787766	0.007200774	0.321724042	0.214083011	0.009605797	0.21264119	0.008652626	0.167396823	0.007783945	0.009200426	0.006911812	0.361360656	0.005477518	0.009985982	0.583775802	0.007197619	0.009148639	0.009744545	0.563209385	0.500556505	0.332701017	0.003450478	0.006109158	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Actinomycetales;  f__Mycobacteriaceae;  g__Mycobacterium;  s__
580241	0.163096669	0.229902312	0.006694313	0.005496869	0.003413892	0.221933281	0.253048992	0.440815358	0.005448266	0.255746235	0.006999336	0.007751946	0.008742851	0.204059568	0.007571032	0.43353706	0.006076993	0.00604336	0.006060307	0.006958785	0.00986807	0.009188602	0.006678402	0	0.398094795	0.482240615	0.007430396	0.348492049	0.39328466	0.2533246	0.009311241	0.009953981	0.006787766	0.218269183	0.388454382	0.008587756	0.225716308	0.009173413	0.008652626	0.167396823	0.007783945	0.227823562	0.006911812	0.231238639	0.005477518	0.239053656	0.391670584	0.203279184	0.009148639	0.009744545	0.009560465	0.21995623	0.170012218	0.36005321	0.177935836	0.209703067	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Hyphomicrobiaceae;  g__Rhodoplanes;  s__
583759	0.005472222	0.229902312	0.187136667	0.175351584	0.142938721	0.008904882	0.253048992	0.128112803	0.005448266	0.163617023	0.298830931	0.007751946	0.008742851	0.006972916	0.007571032	0.004218119	0.456435612	0.265253387	0.417080901	0.006958785	0.00986807	0.009188602	0.262644126	0	0.317168982	0.007651559	0.007430396	0.348492049	0.005254002	0.2533246	0.236498614	0.894707038	0.316221925	0.007200774	0.140002089	0.008587756	0.225716308	0.331662209	0.008652626	0.005924628	0.007783945	0.009200426	0.205582137	0.008793581	0.329455277	0.009985982	0.199565366	0.39936075	0.009148639	0.009744545	0.387484647	0.21995623	0.265179064	0.003450478	0.349762515	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__;  f__;  g__;  s__
240036	0.371464854	0.229902312	0.006694313	0.345206299	0.003413892	0.008904882	0.253048992	0.202487413	0.178981647	0.32111295	0.191124572	0.007751946	0.340107088	0.204059568	0.007571032	0.275088213	0.006076993	0.169586678	0.183077242	0.197605971	0.257809993	0.009188602	0.168174793	0.443645745	0.008126113	0.21204594	0.007430396	0.008466455	0.005254002	0.009604685	0.009311241	0.009953981	0.006787766	0.218269183	0.140002089	0.008587756	0.441826819	0.009173413	0.329195204	0.005924628	0.007783945	0.574333034	0.006911812	0.008793581	0.167466398	0.009985982	0.199565366	0.462484915	0.009148639	0.009744545	0.009560465	0.007690316	0.007323419	0.141403246	0.349762515	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Solirubrobacterales;  f__;  g__;  s__
4995	0.163096669	0.008995891	0.006694313	0.175351584	0.142938721	0.008904882	0.161155931	0.000968566	0.005448266	0.163617023	0.006999336	0.007751946	0.008742851	0.006972916	0.007571032	0.21887759	0.354521985	0.00604336	0.006060307	0.006958785	0.257809993	0.577759765	0.329671185	0.119890007	0.008126113	0.007651559	0.31590627	0.506594946	0.005254002	0.009604685	0.236498614	0.009953981	0.511453142	0.007200774	0.002534738	0.214083011	0.009605797	0.009173413	0.008652626	0.005924628	0.202646449	0.009200426	0.006911812	0.231238639	0.262223818	0.009985982	0.199565366	0.39936075	0.384955863	0.223831093	0.801652996	0.007690316	0.464048619	0.279356014	0.006109158	0.007603537	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Bradyrhizobiaceae;  g__;  s__
500340	0.005472222	0.008995891	0.006694313	0.005496869	0.003413892	0.008904882	0.004063705	0.000968566	0.005448266	0.006121096	0.191124572	0.498185962	0.426877964	0.319347869	0.007571032	0.139653166	0.006076993	0.00604336	0.183077242	0.309127425	0.40284672	0.229141952	0.168174793	0.336573802	0.203110454	0.416440322	0.39668361	0.563024313	0.17236971	0.009604685	0.236498614	0.24233396	0.006787766	0.007200774	0.002534738	0.214083011	0.009605797	0.009173413	0.210892476	0.261852002	0.007783945	0.227823562	0.321796827	0.361360656	0.005477518	0.009985982	0.199565366	0.203279184	0.009148639	0.43791764	0.009560465	0.21995623	0.170012218	0.323766886	0.006109158	0.411802598	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__;  s__
551647	0.005472222	0.229902312	0.292688677	0.005496869	0.282463549	0.008904882	0.161155931	0.329631649	0.005448266	0.255746235	0.298830931	0.007751946	0.217810407	0.006972916	0.190528831	0.410523259	0.282213116	0.265253387	0.28662551	0.006958785	0.00986807	0.009188602	0.262644126	0	0.008126113	0.21204594	0.007430396	0.008466455	0.17236971	0.009604685	0.009311241	0.009953981	0.202018984	0.007200774	0.357882685	0.008587756	0.441826819	0.416108966	0.008652626	0.167396823	0.007783945	0.227823562	0.006911812	0.008793581	0.005477518	0.239053656	0.199565366	0.317979547	0.197052251	0.009744545	0.009560465	0.34412383	0.007323419	0.141403246	0.177935836	0.327923714	k__Bacteria;  p__Bacteroidetes;  c__Sphingobacteria;  o__Sphingobacteriales;  f__Chitinophagaceae;  g__;  s__
584262	0.163096669	0.229902312	0.006694313	0.005496869	0.445697134	0.221933281	0.004063705	0.000968566	0.005448266	0.006121096	0.482956167	0.007751946	0.595669685	0.204059568	0.007571032	0.43353706	0.282213116	0.4651675	0.006060307	0.006958785	0.00986807	0.009188602	0.006678402	0	0.008126113	0.007651559	0.007430396	0.008466455	0.005254002	0.009604685	0.009311241	0.009953981	0.006787766	0.007200774	0.357882685	0.008587756	0.65793733	0.009173413	0.008652626	0.005924628	0.007783945	0.009200426	0.006911812	0.008793581	0.005477518	0.468121331	0.007460149	0.007197619	0.009148639	0.009744545	0.009560465	0.007690316	0.007323419	0.003450478	0.48848763	0.007603537	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__MC47;  f__;  g__;  s__
4961	0.005472222	0.008995891	0.292688677	0.399887304	0.003413892	0.008904882	0.318248157	0.255257039	0.005448266	0.006121096	0.191124572	0.664095294	0.340107088	0.006972916	0.007571032	0.139653166	0.006076993	0.00604336	0.006060307	0.006958785	0.00986807	0.009188602	0.006678402	0.336573802	0.317168982	0.007651559	0.007430396	0.348492049	0.005254002	0.009604685	0.463685987	0.009953981	0.316221925	0.218269183	0.002534738	0.008587756	0.009605797	0.331662209	0.008652626	0.005924628	0.007783945	0.516827627	0.468210021	0.008793581	0.005477518	0.239053656	0.311939715	0.007197619	0.197052251	0.009744545	0.009560465	0.007690316	0.007323419	0.003450478	0.006109158	0.209703067	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Bradyrhizobiaceae;  g__Bradyrhizobium;  s__Bradyrhizobium elkanii
564382	0.163096669	0.008995891	0.187136667	0.515061014	0.224555513	0.221933281	0.161155931	0.128112803	0.280492167	0.371815314	0.191124572	0.498185962	0.008742851	0.40114622	0.190528831	0.318688559	0.282213116	0.265253387	0.183077242	0.006958785	0.00986807	0.009188602	0.006678402	0.190021166	0.008126113	0.007651559	0.007430396	0.008466455	0.17236971	0.009604685	0.009311241	0.378267534	0.006787766	0.007200774	0.002534738	0.008587756	0.225716308	0.009173413	0.008652626	0.261852002	0.007783945	0.009200426	0.006911812	0.231238639	0.005477518	0.009985982	0.007460149	0.007197619	0.197052251	0.009744545	0.009560465	0.432222144	0.007323419	0.141403246	0.006109158	0.209703067	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Xanthomonadales;  f__Sinobacteraceae;  g__;  s__
