#ID	4UW.C077	4CW.C084	2UC.C091	3UC.C066	3CC.C081	3CC.C116	4UW.C128	3CC.C086	1CC.C156	4UW.C144	1CW.C089	1CC.C085	1CW.C096	5UW.C070	5CC.C161	5CW.C132	5CW.C075	2UW.C100	3CW.C090	6CW.C145	5CW.C088	5CC.C157	4UC.C159	2UC.C074	6CC.C134	6UC.C131	2UW.C126	4CW.C130	1UW.C153	2UC.C093	2CC.C154	3CW.C151	1CC.C082	6UC.C083	6UW.C095	2CW.C160	4CC.C150	1CW.C136	4CC.C125	2UW.C147	4UC.C099	2CC.C139	6UC.C079	3UW.C101	3UC.C140	5UC.C162	1UC.C141	1UC.C149	3CW.C102	6CW.C137	6CC.C026	3UW.C143	5UW.C098	6UW.C127	5UC.C146	6UW.C158	taxonomy
573135	0.364835952	0.154040816	0.014752987	0.296773503	0.28534365	0.338440649	0.15648627	0.278513242	0.015748085	0.468873182	0.236948595	0.374149174	0.235952436	0.526251923	0.401937366	0.517367723	0.611863425	0.344649117	0.140343748	0.336095128	0.482458375	0.251215902	0.43149162	0.225278351	0.265817268	0.27569298	0.456336258	0.409571673	0.293502962	0.09736224	0.28411301	0.012923038	0.204386192	0.213696779	0.327761167	0.361992953	0.181422612	0.016588599	0.338410454	0.180810614	0.523816768	0.203856655	0.498686108	0.270877213	0.170806596	0.368336183	0.654724742	0.174310887	0.238321993	0.593765244	0.351957658	0.384264801	0.471506991	0.314427911	0.708491919	0.519635872	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Bradyrhizobiaceae;  g__Bradyrhizobium;  s__
566193	0.547510244	0.539523447	0.184561244	0.296773503	0.462910727	0.323131956	0.514587242	0.435297415	0.462220324	0.338123806	0.189284681	0.269401093	0.235952436	0.316945323	0.182025699	0.013344954	0.158754524	0.414355747	0.313752273	0.018425372	0.211632867	0.251215902	0.388955809	0.378155602	0.172566188	0.178562277	0.20611627	0.409571673	0.397638796	0.320627397	0.014911898	0.169778678	0.399981776	0.008201544	0.240080715	0.250614341	0.570010617	0.300091245	0.528200854	0.180810614	0.523816768	0.016437416	0.165350828	0.312998222	0.328274831	0.013542611	0.570034499	0.56912643	0.238321993	0.321758078	0.014659794	0.384264801	0.242159013	0.453099618	0.016767381	0.014493872	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__;  s__
249928	0.262457918	0.380291197	0.014752987	0.154086168	0.246860549	0.397353998	0.494566297	0.55825864	0.533905202	0.613506325	0.189284681	0.215553176	0.235952436	0.27443222	0.015668946	0.013344954	0.352757632	0.298420681	0.313752273	0.419279973	0.008724382	0.16320979	0.17518422	0.154194477	0.460683459	0.538869716	0.395400384	0.643684978	0.131167366	0.249764419	0.661579676	0.377130555	0.379011828	0.594695186	0.267277719	0.162208163	0.014066867	0.016588599	0.390635051	0.401264885	0.342823183	0.203856655	0.25521045	0.401717017	0.262919609	0.255726901	0.017023518	0.464447766	0.009468257	0.401539126	0.281962027	0.266724842	0.012811035	0.314427911	0.297388869	0.014493872	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Gaiellales;  f__Gaiellaceae;  g__;  s__
240715	0.688218091	0.2375431	0.014752987	0.237552908	0.386712718	0.323131956	0.64016944	0.144501085	0.015748085	0.468873182	0.189284681	0.399143389	0.01210481	0.010316698	0.348382453	0.42435782	0.352757632	0.382420499	0.217078243	0.018425372	0.211632867	0.012762347	0.388955809	0.154194477	0.331979963	0.510654343	0.016832157	0.602754454	0.253969504	0.15360935	0.014911898	0.326634318	0.295332959	0.372183695	0.103397136	0.313339523	0.483893841	0.300091245	0.575165895	0.278363183	0.237215573	0.313489883	0.318966866	0.46182896	0.262919609	0.166343886	0.017023518	0.013779673	0.238321993	0.209313007	0.450610959	0.266724842	0.302215961	0.544440337	0.193819827	0.014493872	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__;  g__;  s__
237257	0.135651194	0.154040816	0.283892708	0.554660162	0.404883081	0.286616423	0.010883128	0.386708617	0.015748085	0.338123806	0.495106048	0.215553176	0.549825647	0.219623297	0.279338162	0.013344954	0.244602267	0.298420681	0.566401958	0.018425372	0.008724382	0.16320979	0.43149162	0.387136452	0.265817268	0.27569298	0.20611627	0.492011949	0.397638796	0.289672379	0.014911898	0.261533345	0.327793265	0.137854602	0.163880583	0.011076804	0.348778356	0.4789615	0.176186038	0.278363183	0.296690695	0.451611414	0.011734791	0.592668764	0.485743067	0.013542611	0.30919074	0.334842101	0.467175729	0.017086889	0.014659794	0.266724842	0.012811035	0.204357985	0.016767381	0.182874538	k__Bacteria;  p__Chloroflexi;  c__Anaerolineae;  o__envOPS12;  f__;  g__;  s__
953685	0.463441822	0.43953701	0.184561244	0.154086168	0.28534365	0.323131956	0.472434169	0.278513242	0.188467124	0.338123806	0.304127109	0.311168783	0.153336938	0.351681058	0.279338162	0.42435782	0.158754524	0.238821862	0.271522233	0.018425372	0.414541351	0.435121716	0.013472256	0.001317226	0.425231043	0.178562277	0.20611627	0.492011949	0.397638796	0.289672379	0.184758889	0.012923038	0.327793265	0.213696779	0.382614869	0.162208163	0.348778356	0.374329108	0.271081238	0.401264885	0.464341646	0.016437416	0.165350828	0.347413592	0.170806596	0.255726901	0.445040762	0.56912643	0.009468257	0.401539126	0.450610959	0.173428127	0.446918424	0.016192203	0.474441315	0.596995274	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__;  s__
324305	0.008844469	0.01129272	0.409035551	0.237552908	0.246860549	0.205305259	0.010883128	0.321655521	0.188467124	0.01422815	0.614252162	0.399143389	0.711796497	0.010316698	0.015668946	0.013344954	0.011996838	0.154822045	0.313752273	0.336095128	0.008724382	0.012762347	0.013472256	0.43145084	0.013152413	0.012516243	0.395400384	0.185067975	0.530019809	0.430004128	0.28411301	0.169778678	0.355238063	0.008201544	0	0.435356169	0.014066867	0.747714118	0.176186038	0.514345051	0.0100895	0.313489883	0.011734791	0.270877213	0.013338361	0.013542611	0.017023518	0.013779673	0.238321993	0.017086889	0.183308726	0.013936339	0.012811035	0.016192203	0.016767381	0.014493872	k__Bacteria;  p__Acidobacteria;  c__Chloracidobacteria;  o__;  f__;  g__;  s__
235943	0.478085109	0.594770261	0.491465035	0.011398832	0.343371297	0.286616423	0.387261791	0.278513242	0.289501285	0.270909385	0.304127109	0.421189849	0.377184564	0.27443222	0.015668946	0.172346435	0.158754524	0.382420499	0.271522233	0.018425372	0.211632867	0.012762347	0.013472256	0.272100102	0.172566188	0.178562277	0.395400384	0.553587403	0.397638796	0.224472328	0.453960001	0.261533345	0.295332959	0.213696779	0.357695322	0.162208163	0.570010617	0.016588599	0.469383134	0.278363183	0.439991292	0.391275895	0.25521045	0.140037408	0.455407586	0.31914516	0.201360511	0.428746841	0.009468257	0.017086889	0.281962027	0.173428127	0.157513498	0.204357985	0.016767381	0.351255205	k__Bacteria;  p__Actinobacteria;  c__Thermoleophilia;  o__Solirubrobacterales;  f__Solirubrobacteraceae;  g__;  s__
555033	0.008844469	0.342743536	0.014752987	0.582148174	0.36639998	0.493141198	0.241658648	0.386708617	0.654884477	0.01422815	0.351791023	0.50389147	0.153336938	0.010316698	0.015668946	0.172346435	0.011996838	0.238821862	0.348256727	0.018425372	0.264766382	0.012762347	0.336896185	0.001317226	0.013152413	0.27569298	0.016832157	0.409571673	0.539107239	0.00120717	0.014911898	0.261533345	0.465451044	0.008201544	0.103397136	0.011076804	0.014066867	0.300091245	0.013961623	0.014043395	0.153390097	0.203856655	0.011734791	0.478253396	0.37896828	0.013542611	0.534522884	0.522651581	0.414824007	0.017086889	0.014659794	0.461686394	0.242159013	0.016192203	0.016767381	0.014493872	k__Bacteria;  p__Actinobacteria;  c__Actinobacteria;  o__Actinomycetales;  f__;  g__;  s__
526161	0.389264643	0.505119999	0.184561244	0.296773503	0.450130145	0.364931642	0.387261791	0.356905329	0.500631729	0.500071634	0.189284681	0.345295471	0.153336938	0.142374459	0.182025699	0.38253496	0.158754524	0.344649117	0.424991222	0.018425372	0.008724382	0.012762347	0.17518422	0.321733158	0.172566188	0.27569298	0.20611627	0.284412444	0.353114415	0.357023209	0.453960001	0.169778678	0.451200338	0.372183695	0.103397136	0.4017457	0.279319447	0.016588599	0.013961623	0.482218167	0.342823183	0.203856655	0.165350828	0.312998222	0.328274831	0.31914516	0.385697505	0.386521608	0.238321993	0.017086889	0.014659794	0.332919914	0.157513498	0.016192203	0.193819827	0.182874538	k__Bacteria;  p__Actinobacteria;  c__Acidimicrobiia;  o__Acidimicrobiales;  f__C111;  g__;  s__
