#ID	Ca	Cb	Cc	Cd	Ce	Ch1a	Ch1b	Ch1c	Ch1d	Ch1e	Ch2a	Ch2b	Ch2c	Ch2d	Ch2e	Ch3a	Ch3b	Ch3c	Ch3d	Ch3e	Ch4a	Ch4b	Ch4c	Ch4d	Ch4e	Ch5a	Ch5b	Ch5c	Ch5d	Ch5e	E1a	E1b	E1c	E1d	E1e	Ra	Rb	Rc	Rd	Re	Wa	Wb	Wc	Wd	We	taxonomy
257413	0	0	0	814	1351	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	820	0	7	7	0	1770	1351	1492	2009	820	7	7	814	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
140854	2057	1839	1601	1770	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	820	7	0	7	7	0	0	814	0	0	7	7	7	0	7	1159	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae
272707	814	1152	814	0	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	0	814	0	0	0	1156	1496	820	1770	1496	1159	1360	835	1496	1605	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
460975	0	1152	1351	814	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	1356	15	7	7	0	7	7	0	0	814	0	0	1356	820	1356	814	1356	1358	15	24	1696	1905	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
228537	1492	1152	1492	1351	1152	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	2009	1351	1351	1152	1152	1156	820	820	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__HTCC2089
245872	1901	1839	1839	1351	1770	17	24	15	7	829	11	11	17	11	7	7	7	17	17	7	7	820	7	7	15	820	7	0	7	7	0	0	0	0	814	7	7	7	0	820	11	15	24	7	7	Root; k__Bacteria
83231	1601	1958	1601	1839	1492	17	24	15	7	17	824	824	829	11	820	7	7	17	17	7	7	7	7	7	15	820	7	814	7	7	0	0	0	814	0	820	820	7	814	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
557327	0	0	0	0	0	1361	24	15	7	829	11	11	17	824	7	1696	1356	1501	17	1774	7	7	1605	820	1360	1156	820	1351	1356	7	0	0	0	0	0	7	7	7	0	7	11	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae
324381	0	0	0	814	814	17	24	15	7	17	11	11	17	11	7	7	7	17	17	7	7	7	7	7	15	7	7	0	7	7	2057	1152	1839	1839	1901	820	7	7	0	7	11	15	24	820	7	Root; k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae
263575	0	0	0	0	0	17	24	15	7	17	1498	11	17	11	7	7	7	17	17	7	7	7	7	7	15	2184	1496	1839	1696	1605	0	0	0	0	0	820	7	820	814	7	11	15	24	7	7	Root; k__Bacteria; p__Bacteroidetes; c__Sphingobacteria; o__Sphingobacteriales; f__Saprospiraceae
307689	0	0	0	0	0	17	24	827	820	17	11	824	1163	11	7	1496	1605	17	17	1774	1496	1156	7	7	827	1496	1356	1492	1156	1356	0	0	0	0	0	7	7	820	0	7	824	15	24	7	7	Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
